site,area,city,district,state,region,lat,lon,ne_count
WVY,North,Akbarpur,Ambedkar Nagar,Uttar Pradesh,North,26.433173,82.547332,1740
NEF,North,Ballari,Ballari,Karnataka,South,15.140113,76.930586,1686
AZV,Juhu,Mumbai,Mumbai,Maharashtra,West,19.078444,72.866435,1686
SSH,Central,Jalandhar,Jalandhar,Punjab,North,31.334161,75.578635,1658
NLS,South,Agra,Agra,Uttar Pradesh,North,27.15902,78.019771,1591
HLD,North,Guntur,Guntur,Andhra Pradesh,South,16.303094,80.45319,1572
NHL,North,Mathura,Mathura,Uttar Pradesh,North,27.489589,77.689896,1523
HWH,North,Bhagalpur,Bhagalpur,Bihar,East,25.243689,86.999534,1504
BLH,Srirangam,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.792255,78.718683,1467
ZWP,Bariatu,Ranchi,Ranchi,Jharkhand,East,23.332369,85.294789,1457
VBP,North,Tiruvottiyur,Tiruvallur,Tamil Nadu,South,13.157698,80.318816,1452
AKI,South,Port Blair,Cuddalore,Tamil Nadu,South,11.733483,79.766409,1405
VPK,North,Aizawl,Aizawl,Mizoram,Northeast,23.725975,92.731848,1396
KDP,North,Pathankot,Pathankot,Punjab,North,32.277166,75.668045,1387
LBK,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.515747,87.330079,1385
WNG,East,Panaji,North Goa,Goa,West,15.492279,73.814773,1373
CDP,East,Aligarh,Aligarh,Uttar Pradesh,North,27.893866,78.073641,1342
VWT,East,Aligarh,Aligarh,Uttar Pradesh,North,27.900997,78.075778,1335
RUS,Varachha,Surat,Surat,Gujarat,West,21.179304,72.815703,1333
TGV,Adajan,Surat,Surat,Gujarat,West,21.182095,72.83323,1301
SNK,TT Nagar,Bhopal,Bhopal,Madhya Pradesh,Central,23.251513,77.433915,1250
KVN,East,Yamunanagar,Yamunanagar,Haryana,North,30.130958,77.259661,1247
XAN,Civil Lines,Nagpur,Nagpur,Maharashtra,West,21.133357,79.098208,1224
PLA,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.526225,87.317736,1212
MII,Argora,Ranchi,Ranchi,Jharkhand,East,23.355257,85.29368,1186
ELN,Central,Margao,South Goa,Goa,West,15.299986,73.992188,1179
ESG,East,Mysore,Mysuru,Karnataka,South,12.300842,76.625902,1176
DEX,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.526125,87.32432,1172
BPN,Central,Rohtak,Rohtak,Haryana,North,28.902491,76.602842,1155
OKN,Central,Junagadh,Junagadh,Gujarat,West,21.529989,70.460646,1097
RNE,North,Sambalpur,Sambalpur,Odisha,East,21.470469,83.990458,1084
LEM,Chithode,Erode,Erode,Tamil Nadu,South,11.324646,77.71249,1075
TZN,North,Ambala,Ambala,Haryana,North,30.375415,76.785118,1053
HAT,East,Kalyan,Thane,Maharashtra,West,19.234032,73.132081,1051
BRU,North,Nellore,Nellore,Andhra Pradesh,South,14.43859,80.003569,1045
DSV,Pan Bazar,Guwahati,Kamrup Metro,Assam,Northeast,26.152473,91.738461,1036
TMI,Sector 56,Gurgaon,Gurugram,Haryana,North,28.447984,77.045954,1036
WTK,South,Solapur,Solapur,Maharashtra,West,17.637766,75.903968,1026
TRS,Central,Firozabad,Firozabad,Uttar Pradesh,North,27.172868,78.396347,1016
PRN,West,Dehradun,Dehradun,Uttarakhand,North,30.321584,78.012626,996
ENR,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.520264,87.323297,925
COS,East,Jalandhar,Jalandhar,Punjab,North,31.324958,75.57047,924
KMP,Hazratganj,Lucknow,Lucknow,Uttar Pradesh,North,26.852229,80.961225,919
MNC,Central,Satara,Satara,Maharashtra,West,17.696795,74.015121,906
ELS,Bodakdev,Ahmedabad,Ahmedabad,Gujarat,West,23.00018,72.566156,890
RDP,Dum Dum,Kolkata,Kolkata,West Bengal,East,22.559772,88.366561,875
KRU,North,Jalandhar,Jalandhar,Punjab,North,31.322662,75.58828,866
RYP,Central,Hisar,Hisar,Haryana,North,29.156576,75.720963,863
ZKP,North,Dibrugarh,Dibrugarh,Assam,Northeast,27.468098,94.923301,857
GNV,North,Solapur,Solapur,Maharashtra,West,17.661418,75.91978,846
WHR,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.519399,87.295231,837
HDT,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.525468,87.328685,816
RVA,Katpadi,Vellore,Vellore,Tamil Nadu,South,12.912337,79.118777,786
STE,Central,Mira-Bhayandar,Thane,Maharashtra,West,19.305901,72.857417,786
WRK,Central,Sambalpur,Sambalpur,Odisha,East,21.482778,83.971665,785
MRA,Pan Bazar,Guwahati,Kamrup Metro,Assam,Northeast,26.159657,91.731353,732
DPO,Central,Dharamshala,Kangra,Himachal Pradesh,North,32.226424,76.320807,705
TPK,Central,Port Blair,Cuddalore,Tamil Nadu,South,11.76163,79.767618,686
AER,Central,Gulbarga,Kalaburagi,Karnataka,South,17.336935,76.831233,673
KLP,South,Junagadh,Junagadh,Gujarat,West,21.507877,70.456555,667
MYR,South,Avadi,Tiruvallur,Tamil Nadu,South,13.092817,80.112969,652
WBD,North,Agartala,West Tripura,Tripura,Northeast,23.830944,91.302619,645
ARA,Central,Firozabad,Firozabad,Uttar Pradesh,North,27.17194,78.394503,628
KEF,East,Margao,South Goa,Goa,West,15.283459,73.97944,624
ATV,East,Satara,Satara,Maharashtra,West,17.674726,74.01233,557
BDE,North,Firozabad,Firozabad,Uttar Pradesh,North,27.155083,78.40937,539
KIL,Central,Ballari,Ballari,Karnataka,South,15.146285,76.922663,509
ACP,NIT,Faridabad,Faridabad,Haryana,North,28.41911,77.315629,504
EDY,Singanallur,Coimbatore,Coimbatore,Tamil Nadu,South,11.008349,76.951473,478
DSY,Central,Karnal,Karnal,Haryana,North,29.698016,76.991849,476
MEY,North,Kolhapur,Kolhapur,Maharashtra,West,16.703223,74.263042,430
PGT,Sector 18,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,28.543546,77.386798,430
MWS,Central,Margao,South Goa,Goa,West,15.28804,73.980639,389
CLL,AB Road,Indore,Indore,Madhya Pradesh,Central,22.728087,75.847871,377
RVL,Central,Agartala,West Tripura,Tripura,Northeast,23.837646,91.286446,368
GDY,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.516318,87.296646,363
TZI,North,Agartala,West Tripura,Tripura,Northeast,23.83501,91.295443,362
EAD,East,Belgaum,Belgaum,Karnataka,South,15.855633,74.484448,361
BNB,Sayajigunj,Vadodara,Vadodara,Gujarat,West,22.317301,73.190367,332
WKS,South,Ajmer,Ajmer,Rajasthan,North,26.433079,74.63923,326
HBW,West,Varanasi,Varanasi,Uttar Pradesh,North,25.321675,82.960242,316
HOP,Hazratganj,Lucknow,Lucknow,Uttar Pradesh,North,26.851391,80.955389,310
LDB,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.536265,87.310196,289
MEH,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.526191,87.302667,286
PWS,South,Bareilly,Bareilly,Uttar Pradesh,North,28.34605,79.424402,284
PGR,North,Dehradun,Dehradun,Uttarakhand,North,30.319598,78.051566,282
CHT,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.531337,87.316731,278
BEV,Central,Jalandhar,Jalandhar,Punjab,North,31.341984,75.578618,275
MSA,Sodala,Jaipur,Jaipur,Rajasthan,North,26.920847,75.781326,252
SAN,West,Gwalior,Gwalior,Madhya Pradesh,Central,26.227445,78.170682,246
KDF,Hinoo,Ranchi,Ranchi,Jharkhand,East,23.339436,85.328034,192
NPT,Sector 62,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,28.545773,77.403482,192
FCV,Bhawarkua,Indore,Indore,Madhya Pradesh,Central,22.70897,75.870038,191
WKP,Dadar,Mumbai,Mumbai,Maharashtra,West,19.07844,72.888999,178
RAL,East,Margao,South Goa,Goa,West,15.285842,73.976033,176
GIY,South,Loni,Ghaziabad,Uttar Pradesh,North,28.717895,77.294037,155
FML,Adajan,Surat,Surat,Gujarat,West,21.175956,72.83021,152
STP,East,Loni,Ghaziabad,Uttar Pradesh,North,28.736355,77.272658,145
RDT,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.535777,87.315762,142
RJF,Central,Nellore,Nellore,Andhra Pradesh,South,14.455192,79.9913,137
WDV,East,Bokaro Steel City,Bokaro,Jharkhand,East,23.672535,86.144393,132
MNA,North,Jalandhar,Jalandhar,Punjab,North,31.331945,75.596533,124
SPB,South,Amritsar,Amritsar,Punjab,North,31.622042,74.882079,123
BGT,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.52469,87.304344,87
BAL,East,Karnal,Karnal,Haryana,North,29.68987,76.976107,87
HKA,East,Agartala,West Tripura,Tripura,Northeast,23.826301,91.273828,86
HYW,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.532347,87.310148,85
CUL,East,Margao,South Goa,Goa,West,15.284841,73.980126,84
NDF,East,Asansol,Paschim Bardhaman,West Bengal,East,23.668898,86.943685,83
ANA,North,Jalandhar,Jalandhar,Punjab,North,31.323772,75.589452,77
NBP,East,Bhiwandi,Thane,Maharashtra,West,19.303136,73.057429,77
THU,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.524896,87.300176,75
NRM,South,Agartala,West Tripura,Tripura,Northeast,23.814911,91.290089,70
SYW,Central,Davanagere,Davanagere,Karnataka,South,14.478554,75.926076,69
PNA,North,Agartala,West Tripura,Tripura,Northeast,23.832658,91.303089,69
LSA,Central,Solapur,Solapur,Maharashtra,West,17.665482,75.904205,65
KWM,Central,Davanagere,Davanagere,Karnataka,South,14.474941,75.918712,65
MER,East,Dhule,Dhule,Maharashtra,West,20.90606,74.764502,62
RLN,South,Hisar,Hisar,Haryana,North,29.131961,75.721949,61
RVR,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.498587,87.312172,58
BRM,East,Puducherry,Puducherry,Puducherry,South,11.93774,79.797866,55
SFT,East,Agartala,West Tripura,Tripura,Northeast,23.826053,91.278346,53
BFL,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.528109,87.306759,52
KHG,Central,Kamarhati,North 24 Parganas,West Bengal,East,22.6763,88.371334,52
NOC,Central,Amravati,Amravati,Maharashtra,West,20.953486,77.784242,52
EMG,South,Davanagere,Davanagere,Karnataka,South,14.446749,75.920741,50
CLP,East,Ajmer,Ajmer,Rajasthan,North,26.448432,74.633247,50
ABA,East,Moradabad,Moradabad,Uttar Pradesh,North,28.83514,78.770613,49
BFU,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.516849,87.305527,48
NTH,South,Jalandhar,Jalandhar,Punjab,North,31.306237,75.573623,42
BHE,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.514713,87.301615,37
ISO,Central,Jalgaon,Jalgaon,Maharashtra,West,21.02312,75.559606,36
SGW,North,Dhule,Dhule,Maharashtra,West,20.909613,74.792687,33
BNA,Pearl City,Thoothukudi,Thoothukudi,Tamil Nadu,South,8.778281,78.138583,29
VKR,East,Anantapur,Anantapur,Andhra Pradesh,South,14.687083,77.592639,29
UTZ,North,Dhule,Dhule,Maharashtra,West,20.899745,74.783609,28
ACO,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.5197,87.301224,27
KMT,East,Dhule,Dhule,Maharashtra,West,20.904868,74.762948,27
BTB,North,Agartala,West Tripura,Tripura,Northeast,23.82966,91.297534,27
SVG,Tonk Road,Jaipur,Jaipur,Rajasthan,North,26.89219,75.789522,26
WTN,North,Gorakhpur,Gorakhpur,Uttar Pradesh,North,26.765481,83.385143,26
JFH,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.525191,87.321201,26
VLN,Central,Anand,Anand,Gujarat,West,22.571731,72.923138,26
BSX,Arera Colony,Bhopal,Bhopal,Madhya Pradesh,Central,23.265148,77.42504,25
MLE,Central,Loni,Ghaziabad,Uttar Pradesh,North,28.746644,77.289392,21
KZN,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.518939,87.322089,20
ERK,West,Jamshedpur,East Singhbhum,Jharkhand,East,22.804845,86.186724,20
LNE,East,Mathura,Mathura,Uttar Pradesh,North,27.495736,77.657934,17
TDL,North,Mathura,Mathura,Uttar Pradesh,North,27.497655,77.691754,16
BOJ,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.524241,87.298922,16
XSI,Central,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.191175,79.988175,15
SLO,Central,Moradabad,Moradabad,Uttar Pradesh,North,28.853994,78.779704,14
KBI,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.503546,87.306648,14
SIT,Central,Loni,Ghaziabad,Uttar Pradesh,North,28.752135,77.290052,14
XSC,Central,Gandhinagar,Gandhinagar,Gujarat,West,23.228051,72.636742,13
XSA,Palayamkottai,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.695783,77.756818,12
PKV,South,Gaya,Gaya,Bihar,East,24.770407,84.997246,12
HEN,North,Puducherry,Puducherry,Puducherry,South,11.936697,79.819175,12
ZBD,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.514806,87.32502,11
PSS,East,Anantapur,Anantapur,Andhra Pradesh,South,14.681205,77.588217,11
XNB,Danapur,Patna,Patna,Bihar,East,25.60143,85.121078,11
XSD,East,Bathinda,Bathinda,Punjab,North,30.210728,74.932726,11
SKZ,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501175,87.31524,11
PSB,North,Kohima,Kohima,Nagaland,Northeast,25.673087,94.12461,11
TCX,North,Gangtok,East Sikkim,Sikkim,Northeast,27.340165,88.619042,10
XPO,Gokulam,Mysuru,Mysuru,Karnataka,South,12.294037,76.654239,10
PSP,East,Dhanbad,Dhanbad,Jharkhand,East,23.785205,86.422417,10
NZA,Beltola,Guwahati,Kamrup Metro,Assam,Northeast,26.13553,91.722069,10
DPA,Central,Jodhpur,Jodhpur,Rajasthan,North,26.24954,73.025171,10
JRL,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.524769,87.296159,9
XSH,Central,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.19313,79.987488,9
XXX,Central,Bhilai,Durg,Chhattisgarh,Central,21.206021,81.352031,9
PPE,North,Ballari,Ballari,Karnataka,South,15.140313,76.937308,9
NEV,North,Kollam,Kollam,Kerala,South,8.892481,76.629129,9
XNC,East,Rourkela,Sundargarh,Odisha,East,22.259292,84.842777,9
PSD,Central,Tinsukia,Tinsukia,Assam,Northeast,27.498894,95.362291,9
XSB,Bondel,Mangalore,Dakshina Kannada,Karnataka,South,12.906883,74.843047,8
SUN,Singanallur,Coimbatore,Coimbatore,Tamil Nadu,South,11.004107,76.955963,8
OED,Central,Bhagalpur,Bhagalpur,Bihar,East,25.254686,86.978953,8
PSR,South,Kalyan,Thane,Maharashtra,West,19.23,73.146838,8
XCS,Juhu,Mumbai,Mumbai,Maharashtra,West,19.083194,72.862289,8
JSA,Sector 22,Chandigarh,Chandigarh,Chandigarh,North,30.724984,76.797681,8
SPN,South,Ludhiana,Ludhiana,Punjab,North,30.887357,75.86862,8
LEL,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.525644,87.30912,8
PSL,East,Moradabad,Moradabad,Uttar Pradesh,North,28.839062,78.765076,8
XSY,East,Asansol,Paschim Bardhaman,West Bengal,East,23.674093,86.940962,8
SCS,South,Bidar,Bidar,Karnataka,South,17.893899,77.52926,8
XCF,East,Firozabad,Firozabad,Uttar Pradesh,North,27.158724,78.386209,8
SPG,North,Nellore,Nellore,Andhra Pradesh,South,14.44232,80.001288,8
NDV,Vasundhara,Ghaziabad,Ghaziabad,Uttar Pradesh,North,28.659044,77.453988,8
BCM,North,Jalandhar,Jalandhar,Punjab,North,31.330229,75.58592,8
VGN,Central,Udaipur,Udaipur,Rajasthan,North,24.595943,73.710682,7
POP,Vartak Nagar,Thane,Thane,Maharashtra,West,19.207796,72.995001,7
PSN,North,Silchar,Cachar,Assam,Northeast,24.833584,92.79312,7
WFL,Thillai Nagar,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.774263,78.704882,7
POM,North,Karnal,Karnal,Haryana,North,29.684001,77.006052,7
SAS,South,Karaikudi,Sivaganga,Tamil Nadu,South,10.054902,78.774027,7
CLK,Central,Bidar,Bidar,Karnataka,South,17.925336,77.531128,7
CLC,East,Junagadh,Junagadh,Gujarat,West,21.522498,70.445309,7
SOS,Sathuvachari,Vellore,Vellore,Tamil Nadu,South,12.925744,79.132508,7
OLD,Pearl City,Thoothukudi,Thoothukudi,Tamil Nadu,South,8.773468,78.136685,7
XMA,East,Kakinada,East Godavari,Andhra Pradesh,South,16.990044,82.237231,7
XDS,North,Mysore,Mysuru,Karnataka,South,12.297742,76.655483,7
XBC,Old Faridabad,Faridabad,Faridabad,Haryana,North,28.40188,77.335372,7
PCS,East,Maheshtala,South 24 Parganas,West Bengal,East,22.511792,88.238984,7
XMS,South,Dhule,Dhule,Maharashtra,West,20.886789,74.773677,7
XBL,South,Dharamshala,Kangra,Himachal Pradesh,North,32.201512,76.322679,7
SIU,Bondel,Mangalore,Dakshina Kannada,Karnataka,South,12.905312,74.841568,7
PSA,North,Thrissur,Thrissur,Kerala,South,10.527635,76.229533,7
POL,Six Mile,Guwahati,Kamrup Metro,Assam,Northeast,26.133423,91.736721,7
PBV,North,Moradabad,Moradabad,Uttar Pradesh,North,28.837748,78.789482,7
XSG,East,Nanded,Nanded,Maharashtra,West,19.136988,77.310557,7
SBX,South,Gaya,Gaya,Bihar,East,24.77329,84.998206,7
XDO,Central,Kalyan,Thane,Maharashtra,West,19.253619,73.134377,7
EMP,East,Jammu,Jammu,Jammu and Kashmir,North,32.725166,74.8449,7
SAK,East,Ajmer,Ajmer,Rajasthan,North,26.449108,74.629609,7
PPB,Gajuwaka,Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,17.674956,83.219726,7
ROI,Central,Agartala,West Tripura,Tripura,Northeast,23.836678,91.285941,7
HYS,Vartak Nagar,Thane,Thane,Maharashtra,West,19.207541,72.992399,6
ABL,East,Bhilwara,Bhilwara,Rajasthan,North,25.347747,74.623866,6
BVW,Hasthampatti,Salem,Salem,Tamil Nadu,South,11.662692,78.164444,6
XCL,Korlagunta,Tirupati,Chittoor,Andhra Pradesh,South,13.610054,79.417362,6
SQZ,East,Agartala,West Tripura,Tripura,Northeast,23.836255,91.270725,6
XUM,Central,Jammu,Jammu,Jammu and Kashmir,North,32.738058,74.85504,6
POB,South,Anand,Anand,Gujarat,West,22.545609,72.927617,6
DTR,North,Shillong,East Khasi Hills,Meghalaya,Northeast,25.577648,91.906383,6
DDC,Central,Bathinda,Bathinda,Punjab,North,30.223753,74.94743,6
BRA,South,Jodhpur,Jodhpur,Rajasthan,North,26.224963,73.036437,6
PFS,North,Kohima,Kohima,Nagaland,Northeast,25.67354,94.121198,6
XCP,Central,Rajkot,Rajkot,Gujarat,West,22.31477,70.801582,6
DDO,South,Jalandhar,Jalandhar,Punjab,North,31.306242,75.577375,6
RMP,C-Scheme,Jaipur,Jaipur,Rajasthan,North,26.921709,75.786833,6
SAV,Arera Colony,Bhopal,Bhopal,Madhya Pradesh,Central,23.266949,77.425999,6
BBA,Sector 22,Chandigarh,Chandigarh,Chandigarh,North,30.722377,76.793784,6
SYT,East,Kamarhati,North 24 Parganas,West Bengal,East,22.670365,88.360606,6
DEV,South,Allahabad,Prayagraj,Uttar Pradesh,North,25.420454,81.857601,6
XIT,Frazer Road,Patna,Patna,Bihar,East,25.583667,85.13735,6
NSP,South,Bhilai,Durg,Chhattisgarh,Central,21.177445,81.349421,6
SOP,North,Varanasi,Varanasi,Uttar Pradesh,North,25.321321,82.986195,6
LHM,North,Bhilai,Durg,Chhattisgarh,Central,21.192786,81.365065,6
SIR,Tallakulam,Madurai,Madurai,Tamil Nadu,South,9.914759,78.120152,6
ATN,Bani Park,Jaipur,Jaipur,Rajasthan,North,26.901173,75.774703,6
INT,North,Rajkot,Rajkot,Gujarat,West,22.307403,70.81574,6
DTL,Central,Howrah,Howrah,West Bengal,East,22.607237,88.265301,6
CFT,Hinoo,Ranchi,Ranchi,Jharkhand,East,23.336967,85.323412,6
ISP,North,Brahmapur,Ganjam,Odisha,East,19.313304,84.808287,6
XIS,North,Nellore,Nellore,Andhra Pradesh,South,14.443551,80.00062,6
SPQ,Central,Cuttack,Cuttack,Odisha,East,20.473753,85.883626,6
SCE,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.521583,87.302851,6
XSK,North,Gaya,Gaya,Bihar,East,24.791639,85.012986,6
RTM,North,Rajahmundry,East Godavari,Andhra Pradesh,South,17.0018,81.817407,6
PSU,Sathuvachari,Vellore,Vellore,Tamil Nadu,South,12.929243,79.130934,6
RBC,East,Aizawl,Aizawl,Mizoram,Northeast,23.726498,92.705538,6
PSO,North,Hubli,Dharwad,Karnataka,South,15.364483,75.13707,6
UNP,South,Ambala,Ambala,Haryana,North,30.359551,76.777845,6
SIS,East,Anantapur,Anantapur,Andhra Pradesh,South,14.683368,77.591037,6
DOD,North,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.187211,80.00019,6
XCC,North,Warangal,Warangal Urban,Telangana,South,17.969871,79.608765,6
LDN,North,Rajahmundry,East Godavari,Andhra Pradesh,South,17.000072,81.81647,5
VLW,Sabarmati,Ahmedabad,Ahmedabad,Gujarat,West,23.009193,72.561643,5
SBO,East,Dhanbad,Dhanbad,Jharkhand,East,23.786067,86.425281,5
NEB,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.532587,87.313447,5
SOT,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.521865,87.301191,5
MDR,West,Jodhpur,Jodhpur,Rajasthan,North,26.242526,73.01032,5
PGD,North,Jalandhar,Jalandhar,Punjab,North,31.324452,75.592323,5
XMP,North,Dhule,Dhule,Maharashtra,West,20.90381,74.787566,5
BCL,East,Mathura,Mathura,Uttar Pradesh,North,27.492772,77.664022,5
DVK,South,Ratnagiri,Ratnagiri,Maharashtra,West,16.977364,73.299641,5
CRT,North,Kohima,Kohima,Nagaland,Northeast,25.675604,94.121541,5
JST,Central,Kamarhati,North 24 Parganas,West Bengal,East,22.682105,88.368049,5
POK,Central,Moradabad,Moradabad,Uttar Pradesh,North,28.846455,78.77291,5
DWR,East,Jalandhar,Jalandhar,Punjab,North,31.327226,75.567076,5
RSP,East,Kohima,Kohima,Nagaland,Northeast,25.674941,94.098007,5
EMB,Central,Latur,Latur,Maharashtra,West,18.418841,76.561407,5
